"tokens","tags"
"KÖNIG:","speaker"
"Bonjour, king.","p"
"LE ROI:","speaker"
"DAME:","speaker"
"Salut, dame.","p"
"(küsst die Hand)","stage"
"KING:","speaker"
"SERVANT.","speaker"
"wir gehen raus jetzt.","p"
"gehen wir doch, oder bleiben","p"
"(gehen raus.)","stage"
"und der könig geht (König ab.)","stage_spc"
"KÖNIGIN: (leise.)","stage_spk"
"und der könig geht (Königin ab.)","stage_spc"
"KÖNIG: (im gehen.)","stage_spk"
"gehen wir doch, oder bleiben noch länger","p"
"vielleicht aber gehen wir doch, oder bleiben","p"
"KÖNIGIN:","speaker"
"Bonjour le queen","p"
"LE KÖNIGIN:","speaker"
"DAME 2:","speaker"
"Salut, madame","p"
"(küsst ihr die Hand)","stage"
"KING A:","speaker"
"SERVANTES.","speaker"
"wir gehen raus jetzt aber wirklich","p"
"gehen wir doch, oder bleiben wir noch ein biszchen","p"
"(gehen jetzt wirklich raus.)","stage"
"und der könig geht (König ab.)","stage_spc"
"KÖNIGIN: (leise.)","stage_spk"
"und der könig geht (Königin ab.)","stage_spc"
"KÖNIG: (im gehen.)","stage_spk"
"gehen wir doch, oder bleiben noch länger","p"
"vielleicht aber gehen wir doch, oder bleiben","p"
"und der king ab (König geht.)","stage_spc"
"DAME: (jetzt laut.)","stage_spk"
"da geht er hin der könig geht (König ab.)","stage_spc"
"da geht er hin der könig geht (König ab.)","stage_spc"
"da geht er hin der könig geht (König ab.)","stage_spc"
"KÖNIG: is mir egal was du sagst.","spk_p"
"KÖNIGIN: mir auch egal was du sagst.","spk_p"
"PRINZESSIN: na mir egal was du sagst.","spk_p"
"ACT I, Scene 1","act_scene"
"ACT II, Scene 1","act_scene"
"ACT III, Scene 12","act_scene"
"ACT XIV, Scene 2","act_scene"
"ACT II","act"
"ACT III","act"
"Erster Akt","act"
"ACT I","act"
"Scene One","scene"
"First Act","act"
"First Scene","scene"
"Second Scene","scene"
Second Act,act
Third Act,act
Third Scene,scene
"KÖNIG: is mir egal was du sagst (König ab.)","spk_p_stage"
"PRINCE: mir auch, wie immer (Prinz ab.)","spk_p_stage"
"KÖNIGIN: mir auch egal was du sagst.","spk_p"
"PRINCE: mir ebenso.","spk_p"
KÖNIG: is mir egal (geht ab.),spk_p_stage
PRINCE: is mir auch egal (geht ebenso ab.),spk_p_stage
HAM: ist er jetzt weg? (ebenso ab.),spk_p_stage
KÖNIGIN: alter schnösel mir egal (geht ab.),spk_p_stage
BENDER: drum egal (ab.),spk_p_stage
HAM: ist er jetzt weg endlich? (ebenso ab.),spk_p_stage
"gehen wir, oder bleiben noch länger?","p"
"vielleicht gehen wir doch, oder","p"
"gehen wir, oder bleiben noch länger?","p"
"vielleicht mmmm mmm mmm mmm mmm gehen wir doch, oder","p"
"gehen wir, oder bleiben noch mmmlänger?","p"
"vielleicht wir doch, oder","p"
"gehen wir, oder bleiben noch länger?","p"
"vielleicht lieber gehen wir, oder","p"
"mmmm mmm mmm mmm mmm","p"
"gehen wir, oder bleiben noch mmmlänger?","p"
"doch, oder","p"
"gehen wir, oder bleiben noch länger?","p"
"lieber gehen wir, oder","p"
"PRINCE: mir auch, wie immer (Prinz geht ab.)","spk_p_stage"
